2017  86  5 50     7.78    19.36   448.10    127887.0    8.17   -8.52   -2.32
2017  86  5 55     6.81    17.74   438.20    133410.0    8.43   -7.55   -5.72
2017  86  6  0     6.23    15.72   445.00    110460.0    8.08   -5.53   -9.61
2017  86  6  5     6.12    15.52   444.20    119996.0    8.28   -8.53   -7.05
2017  86  6 10     5.97    15.28   441.90    117977.0    8.53   -8.12   -8.42
2017  86  6 15     5.76    14.97   438.40    124512.0    8.70   -6.43  -10.27
2017  86  6 20     5.82    15.41   434.40    111430.0    5.97   -2.85  -12.77
2017  86  6 25     6.39    16.60   438.50    116054.0    7.07   -3.91  -10.55
2017  86  6 30     5.97    13.44   471.60    186606.0   10.10   -9.21   -2.62
2017  86  6 35     5.74    12.65   476.50    209668.0    9.15  -10.42   -0.54
2017  86  6 40     5.94    13.03   477.40    237798.0    7.39  -11.04    2.83
2017  86  6 45     6.20    13.47   479.50    250310.0    7.58  -10.38    4.29
2017  86  6 50     5.91    12.77   480.80    213233.0    7.86  -11.18    3.12
2017  86  6 55     6.25    13.40   482.90    226982.0    6.24  -11.00    6.11
2017  86  7  0     5.76    12.40   482.00    184851.0    7.39  -12.73    6.13
2017  86  7  5     6.22    13.37   482.40    204196.0    8.89  -12.07    4.28
2017  86  7 10     7.01    15.63   474.20    219836.0    5.50   -8.74    5.53
2017  86  7 15     7.05    16.04   469.70    239855.0    7.29  -10.44    3.77
2017  86  7 20     5.74    12.84   472.60    206348.0    9.03  -13.13    1.70
2017  86  7 25     6.29    14.07   472.60    232653.0    8.65  -11.44   -0.30
2017  86  7 30     7.01    15.45   476.20    265933.0    9.26  -10.63   -1.62
2017  86  7 35     6.93    15.66   470.50    253591.0    9.21  -10.57   -1.93
2017  86  7 40     7.11    16.12   469.60    265253.0    9.40  -10.00   -3.29
2017  86  7 45     6.79    15.28   471.40    233106.0   10.07  -10.58   -1.45
2017  86  7 50     7.02    16.00   468.40    241945.0    9.84  -11.00    0.27
2017  86  7 55     6.78    15.38   469.40    243762.0    9.43  -12.36    0.87
2017  86  8  0     6.50    14.30   476.90    293064.0    8.65  -12.32   -2.62
2017  86  8  5     7.40    16.20   478.00    228843.0   10.46  -10.07    0.01
2017  86  8 10     8.20    17.78   480.10    221088.0    9.10  -10.68   -0.27
2017  86  8 15     7.78    17.06   477.80    260928.0    8.23  -10.77    1.80
2017  86  8 20     7.16    15.49   480.60    268809.0    8.39  -11.34    0.22
2017  86  8 25     7.16    15.36   482.70    266990.0    8.89  -12.37   -1.20
2017  86  8 30     4.72     9.11   508.70    199441.0   11.71  -14.51   -2.44
2017  86  8 35     5.58    10.56   512.90    292527.0   11.06  -13.49   -2.50
2017  86  8 40     6.37    12.14   511.80    349568.0    8.82  -11.54   -4.22
2017  86  8 45     6.93    12.78   520.60    335929.0    8.29   -9.70   -6.97
2017  86  8 50     7.29    13.42   521.10    397835.0    8.46   -8.86   -3.82
2017  86  8 55     8.06    14.96   519.20    513558.0    7.25   -6.58    0.65
2017  86  9  0     7.48    13.99   516.90    414373.0    8.79   -7.62   -4.72
2017  86  9  5     6.29    11.94   513.30    307668.0    8.57   -6.29  -10.52
2017  86  9 10     6.26    11.91   512.70    298714.0    9.23   -7.23   -9.81
2017  86  9 15     6.81    12.43   523.50    331291.0    7.50   -4.61  -12.62
2017  86  9 20     7.77    13.84   529.80    375120.0    9.23   -6.55   -7.21
2017  86  9 25     6.84    13.01   513.70    299042.0    8.50   -6.48   -8.86
2017  86  9 30     6.87    13.25   509.80    329878.0   10.38   -7.18   -6.58
2017  86  9 35     6.78    12.77   515.50    345948.0   10.30   -6.40  -10.10
2017  86  9 40     6.18    11.72   513.30    311371.0   10.26   -6.25   -9.98
2017  86  9 45     6.14    10.92   531.90    304219.0   11.51   -3.97   -9.55
2017  86  9 50     6.20    11.29   524.10    319912.0   10.10   -3.67   -9.71
2017  86  9 55     6.83    12.37   525.00    389977.0    6.90   -3.22  -10.50
2017  86 10  0     6.70    12.53   517.40    419801.0    6.20   -2.92  -11.19
2017  86 10  5     6.34    12.44   504.90    420585.0    8.11   -7.44   -6.11
